"date","DryBiomass","Month","Year"
1995-05-10,554.71,5,1995
1995-05-11,482.22,5,1995
1995-06-13,433.24,6,1995
1995-06-14,672.75,6,1995
1995-07-11,573.87,7,1995
1995-08-18,387.325,8,1995
1995-09-12,241.996666666667,9,1995
1995-10-10,273.11,10,1995
1995-11-06,180.76,11,1995
1995-12-15,556.24,12,1995
1996-01-30,295.6,1,1996
1996-02-14,291.92,2,1996
1996-02-27,575.81,2,1996
1996-02-28,249.76,2,1996
1996-03-15,330.893333333333,3,1996
1996-03-27,538,3,1996
1996-03-28,336.53,3,1996
1996-04-09,849.225,4,1996
1996-04-22,1119.81,4,1996
1996-04-23,962.47,4,1996
1996-05-06,397.16,5,1996
1996-05-07,455.03,5,1996
1996-06-10,226.33,6,1996
1996-08-05,448.06,8,1996
1996-09-02,451.63,9,1996
1996-10-08,435.825,10,1996
1996-11-05,377.33,11,1996
1996-12-11,879.82,12,1996
1996-12-14,637.76,12,1996
1997-01-13,304.095,1,1997
1997-01-27,453.7,1,1997
1997-01-28,234.53,1,1997
1997-02-06,491.57,2,1997
1997-02-07,333.75,2,1997
1997-02-20,552.09,2,1997
1997-03-04,442.95,3,1997
1997-03-18,492.54,3,1997
1997-03-19,280.91,3,1997
1997-04-08,547.96,4,1997
1997-05-05,635.865,5,1997
1997-06-11,927.96,6,1997
1997-07-15,537.08,7,1997
1997-08-11,514.246666666667,8,1997
1997-09-11,690.09,9,1997
1997-09-12,306.695,9,1997
1997-10-06,415.156666666667,10,1997
1997-11-11,350.03,11,1997
1997-11-14,365.21,11,1997
1997-12-09,586.823333333333,12,1997
1998-01-12,463.82,1,1998
1998-01-13,401.18,1,1998
1998-01-14,373.99,1,1998
1998-02-11,712.48,2,1998
1998-02-28,1246.5,2,1998
1998-03-09,925.35,3,1998
1998-03-13,742.19,3,1998
1998-03-25,686.71,3,1998
1998-04-07,1038.17,4,1998
1998-05-06,257.81,5,1998
1998-06-02,911.42,6,1998
1998-06-03,638.03,6,1998
1998-07-08,886.453333333333,7,1998
1998-08-10,470.02,8,1998
1998-09-08,359.93,9,1998
1998-09-10,422.98,9,1998
1998-10-22,143.5,10,1998
1998-11-18,508.665,11,1998
1998-11-19,348.93,11,1998
1998-12-07,413.645,12,1998
1998-12-08,247.27,12,1998
1999-01-14,314.065,1,1999
1999-01-15,108.88,1,1999
1999-01-27,184.406666666667,1,1999
1999-01-28,256.66,1,1999
1999-02-12,453.84,2,1999
1999-02-23,868.36,2,1999
1999-02-24,434.77,2,1999
1999-03-23,708.52,3,1999
1999-03-24,1205.59,3,1999
1999-04-07,603.8,4,1999
1999-04-08,1217.4,4,1999
1999-05-03,517.4875,5,1999
1999-06-01,1087.315,6,1999
1999-06-03,938.095,6,1999
1999-06-04,1837.03,6,1999
1999-07-05,400.21,7,1999
1999-07-06,228.745,7,1999
1999-08-03,456.52,8,1999
1999-09-14,629.93,9,1999
1999-09-15,366.11,9,1999
1999-10-11,445.695,10,1999
1999-11-10,360.206666666667,11,1999
1999-12-08,697.82,12,1999
2000-02-16,457.7,2,2000
2000-02-29,NA,2,2000
2000-03-13,NA,3,2000
2000-03-14,NA,3,2000
2000-03-27,NA,3,2000
2000-03-28,NA,3,2000
2000-04-10,708.63,4,2000
2000-04-11,878.395,4,2000
2000-05-10,NA,5,2000
2000-06-06,522.105,6,2000
2000-08-07,565.23,8,2000
2000-08-08,405.325,8,2000
2000-09-13,377.69,9,2000
2000-10-18,365.825,10,2000
2000-11-14,440.68,11,2000
2000-12-12,444.195,12,2000
2001-02-20,494.91,2,2001
2001-02-21,613.06,2,2001
2001-03-09,517.94,3,2001
2001-03-20,625.57,3,2001
2001-03-21,957.63,3,2001
2001-04-04,521.7475,4,2001
2001-04-18,1105.51,4,2001
2001-06-05,336.36,6,2001
2001-07-18,748.165,7,2001
2001-10-16,409.325,10,2001
2001-11-09,390.245,11,2001
2001-12-11,380.905,12,2001
2002-01-22,265.24,1,2002
2002-02-13,241.55,2,2002
2002-02-27,545.04,2,2002
2002-03-19,1162.075,3,2002
2002-04-04,800.92,4,2002
2002-05-14,684.165,5,2002
2002-06-04,264.54,6,2002
2002-07-01,637.28,7,2002
2002-07-02,427.37,7,2002
2002-08-20,707.836666666667,8,2002
2002-09-17,887.57,9,2002
2002-10-08,463.01,10,2002
2002-12-09,849.475,12,2002
2002-12-10,318.355,12,2002
2003-01-27,518.26,1,2003
2003-02-04,336.765,2,2003
2003-02-21,773.9,2,2003
2003-03-04,1016.48333333333,3,2003
2003-03-21,1413.94,3,2003
2003-03-22,1234.43,3,2003
2003-04-03,908.845,4,2003
2003-04-22,483.303333333333,4,2003
2003-05-20,240.66,5,2003
2003-07-04,420.085,7,2003
2003-07-05,862.785,7,2003
2003-07-15,704.686666666667,7,2003
2003-08-12,491.465,8,2003
2003-09-20,884.195,9,2003
2003-10-06,661.865,10,2003
2003-10-07,522.67,10,2003
2003-11-03,388.46,11,2003
2003-11-04,252.98,11,2003
2003-12-02,293.23,12,2003
2004-01-27,331.38,1,2004
2004-02-14,666.81,2,2004
2004-02-23,1357.23,2,2004
2004-04-20,1656.145,4,2004
2004-04-21,949.59,4,2004
2004-05-17,680.23,5,2004
2004-06-15,769.655,6,2004
2004-09-14,666.083333333333,9,2004
2004-10-13,237.05,10,2004
2004-11-12,492.085,11,2004
2004-12-08,550.596666666667,12,2004
2005-01-26,349.97,1,2005
2005-01-27,279.47,1,2005
2005-02-08,794.12,2,2005
2005-02-24,648.4,2,2005
2005-03-07,1391.325,3,2005
2005-03-20,1263.385,3,2005
2005-03-21,942.78,3,2005
2005-04-05,1187.495,4,2005
2005-04-06,525.005,4,2005
2005-04-18,1798.75,4,2005
2005-04-19,886.04,4,2005
2005-05-16,1194.89,5,2005
2005-05-17,609.815,5,2005
2005-06-14,412.045,6,2005
2005-06-15,535.97,6,2005
2005-07-19,324.645,7,2005
2005-08-09,757.415,8,2005
2005-09-06,400,9,2005
2005-10-11,315.505,10,2005
2005-11-10,288.075,11,2005
2005-12-08,421.3,12,2005
2006-01-29,676.016666666667,1,2006
2006-01-30,357.52,1,2006
2006-02-08,1326.01,2,2006
2006-02-20,1084.4,2,2006
2006-02-21,1074.48,2,2006
2006-02-22,652.145,2,2006
2006-04-04,1474.275,4,2006
2006-05-10,387.27,5,2006
2006-06-26,432.7,6,2006
2006-07-16,525.95,7,2006
2006-08-07,537.94,8,2006
2006-08-08,562.29,8,2006
2006-10-10,519.78,10,2006
2006-11-07,545.805,11,2006
2006-12-03,451.19,12,2006
2007-03-06,821.08,3,2007
2007-03-07,820.916666666667,3,2007
2007-03-19,699.87,3,2007
2007-03-20,952.6,3,2007
2007-04-02,899.39,4,2007
2007-04-03,NA,4,2007
2007-04-14,751.785,4,2007
2007-05-16,414.55,5,2007
2007-06-21,401.5025,6,2007
2007-07-18,466.32,7,2007
2007-07-19,785.16,7,2007
2007-08-15,577.11,8,2007
2007-08-17,261.98,8,2007
2007-09-08,725,9,2007
2007-11-14,449.17,11,2007
2007-12-06,363.955,12,2007
2008-01-15,578.51,1,2008
2008-01-17,613.47,1,2008
2008-02-12,593.2,2,2008
2008-02-22,651.275,2,2008
2008-03-13,483.31,3,2008
2008-03-25,598.14,3,2008
2008-04-17,38.35,4,2008
2008-05-29,1196.17,5,2008
2008-06-22,466.44,6,2008
2008-08-14,309.28,8,2008
2008-09-10,652.16,9,2008
2008-09-12,296.23,9,2008
2008-10-09,524.29,10,2008
2009-03-06,378.61,3,2009
2009-03-19,686.94,3,2009
2009-04-01,216.81,4,2009
2009-06-11,593.74875,6,2009
2009-06-12,510.845,6,2009
2009-08-15,715.58,8,2009
2009-09-11,362.86,9,2009
2009-10-10,896.655,10,2009
2009-11-08,482.62,11,2009
2009-12-09,584.543333333333,12,2009
2010-02-24,241.93,2,2010
2010-03-09,872.29,3,2010
2010-03-10,997.83,3,2010
2010-03-25,1514.97,3,2010
2010-04-06,2098.465,4,2010
2010-04-23,710.91,4,2010
2010-05-13,891.93,5,2010
2010-05-14,1671.11,5,2010
2010-06-23,512.185,6,2010
2010-07-24,444.36,7,2010
2010-08-21,NA,8,2010
2010-08-22,NA,8,2010
2010-09-06,631.54,9,2010
2010-10-05,904.93,10,2010
2010-10-06,836.87,10,2010
2010-11-09,498.4,11,2010
2010-11-10,350.81,11,2010
2010-12-09,713.88,12,2010
2011-03-04,521.445,3,2011
2011-03-05,1300.88,3,2011
2011-03-26,1957.425,3,2011
2011-04-07,1418.465,4,2011
2011-04-27,733.79,4,2011
2011-04-28,1494.05,4,2011
2011-05-17,1261.5275,5,2011
2011-06-15,472.16,6,2011
2011-07-05,1022.865,7,2011
2011-07-06,774.07,7,2011
2011-08-19,314.65,8,2011
2011-08-20,511.085,8,2011
2011-09-17,894.53,9,2011
2011-11-01,239.42,11,2011
2011-11-17,682.2575,11,2011
2011-12-07,456.45,12,2011
2011-12-08,343.01,12,2011
2012-02-10,623.1,2,2012
2012-03-08,739.14,3,2012
2012-04-11,878.47,4,2012
2012-04-26,1134.46,4,2012
2012-05-19,636.16,5,2012
2012-06-18,634.84,6,2012
2012-07-12,1526.365,7,2012
2012-08-21,952.945,8,2012
2012-09-11,586.14,9,2012
2012-09-12,278.05,9,2012
2012-10-18,451.5,10,2012
2012-10-19,480.315,10,2012
2012-11-13,669.59,11,2012
2012-11-16,676.015,11,2012
2012-12-10,894.95,12,2012
2012-12-11,500.445,12,2012
2013-01-21,1047.6,1,2013
2013-01-22,841.71,1,2013
2013-02-11,1181.61,2,2013
2013-02-25,1211.88,2,2013
2013-02-26,892.865,2,2013
2013-03-12,496.97,3,2013
2013-03-27,1625.05,3,2013
2013-04-05,1778.805,4,2013
2013-04-06,799.47,4,2013
2013-04-24,537.22,4,2013
2013-05-15,383.68,5,2013
2013-05-16,665.065,5,2013
2013-06-16,858.74,6,2013
2013-07-05,715.12,7,2013
2013-07-08,1037.7,7,2013
2013-08-02,926.518571428571,8,2013
2013-09-16,754.36,9,2013
2013-09-17,391.825,9,2013
2013-10-18,681.56,10,2013
2013-10-19,364.4,10,2013
2013-11-13,704.45,11,2013
2013-11-14,385.17,11,2013
2013-12-08,503.9,12,2013
2013-12-09,394.79,12,2013
2014-03-05,1289.705,3,2014
2014-03-06,920.085,3,2014
2014-04-11,756.305,4,2014
2014-04-28,801.935,4,2014
2014-04-29,459.545,4,2014
2014-06-11,NA,6,2014
2014-06-12,779.125,6,2014
2014-07-09,1762.7,7,2014
2014-07-10,970.62,7,2014
2014-08-19,843.74,8,2014
2014-08-20,428.915,8,2014
2014-09-13,431.6825,9,2014
2014-10-28,487.6225,10,2014
2014-11-19,357.24,11,2014
2014-11-20,263.96,11,2014
2014-12-11,438.483333333333,12,2014
2015-02-05,268.32,2,2015
2015-02-20,501.115,2,2015
2015-04-07,704.34,4,2015
2015-04-08,578.11,4,2015
2015-04-23,503.415,4,2015
2015-04-24,270.415,4,2015
2015-05-12,1627.575,5,2015
2015-05-13,2389.935,5,2015
2015-06-23,394.85,6,2015
2015-07-14,568.81,7,2015
2015-07-15,422.48,7,2015
2015-08-18,853.6925,8,2015
2015-09-12,551.955,9,2015
2015-11-29,494.025,11,2015
2015-11-30,282.79,11,2015
2015-12-11,271.16,12,2015
2015-12-12,254.99,12,2015
2016-03-08,347.845,3,2016
2016-03-23,645.613333333333,3,2016
2016-04-05,465.103333333333,4,2016
2016-04-14,476.9,4,2016
2016-04-15,284.935,4,2016
2016-05-04,963.32,5,2016
2016-06-14,230.97,6,2016
2016-07-22,347.6725,7,2016
2016-08-17,289.6475,8,2016
2016-10-19,195.62,10,2016
2016-11-19,326.27,11,2016
2016-12-13,291.0625,12,2016
2017-01-06,402.5,1,2017
2017-01-07,230.685,1,2017
2017-02-19,327.616666666667,2,2017
2017-02-20,589.71,2,2017
2017-04-09,1618.625,4,2017
2017-05-09,274.525,5,2017
2017-05-30,620.62,5,2017
2017-06-13,819.5125,6,2017
2017-07-18,536.185,7,2017
2017-08-15,609.6375,8,2017
2017-09-12,505.1475,9,2017
2017-10-16,548.535,10,2017
2017-10-17,211.96,10,2017
2017-10-18,313.85,10,2017
2017-11-17,292.03,11,2017
2017-12-12,310.0625,12,2017
2018-01-15,307.83,1,2018
2018-02-09,548.61,2,2018
2018-02-10,433.685,2,2018
2018-02-26,305.94,2,2018
2018-02-27,187.06,2,2018
2018-03-14,573.62,3,2018
2018-03-15,679.44,3,2018
2018-04-15,1029.51,4,2018
2018-04-16,726.11,4,2018
2018-04-25,742.775,4,2018
2018-04-26,316.055,4,2018
2018-05-23,627.646666666667,5,2018
2018-06-12,648.13,6,2018
2018-07-20,429.8875,7,2018
2018-08-13,446.653333333333,8,2018
2018-09-12,209.955,9,2018
2018-10-18,309.376666666667,10,2018
2018-10-19,333.78,10,2018
2018-11-06,430.605,11,2018
2018-12-14,506.14,12,2018
2019-01-11,625.5375,1,2019
2019-02-17,1401.47,2,2019
2019-03-12,1156.45333333333,3,2019
2019-03-15,1408.79,3,2019
2019-04-09,2006.58,4,2019
2019-04-10,525.91,4,2019
2019-04-21,2174.69,4,2019
2019-04-22,1281.945,4,2019
2019-05-13,1191.64,5,2019
2019-06-06,1268.22,6,2019
2019-06-07,909.56,6,2019
2019-07-16,1010.91,7,2019
2019-08-19,843.63,8,2019
2019-09-09,812.926666666667,9,2019
2019-09-10,1413.55,9,2019
2019-10-22,532.315,10,2019
2019-10-23,389.72,10,2019
2019-11-17,725.755,11,2019
2019-12-11,482.39,12,2019
2020-01-25,367.765,1,2020
2020-01-26,240.33,1,2020
2020-02-27,377.86,2,2020
2020-02-28,664.535,2,2020
2020-07-10,257.76,7,2020
2020-07-30,873.96,7,2020
2020-07-31,1031.47,7,2020
2020-08-18,1013.7,8,2020
2020-09-23,335.43,9,2020
2020-09-24,450.66,9,2020
2020-10-26,512.916666666667,10,2020
2020-11-17,292.15,11,2020
2020-11-18,115.36,11,2020
2020-12-10,437.49,12,2020
2020-12-11,206.26,12,2020
2021-01-25,217.52,1,2021
2021-02-12,1073.685,2,2021
2021-03-24,1072.115,3,2021
2021-03-25,514.105,3,2021
2021-04-05,766.63,4,2021
2021-04-06,540.74,4,2021
2021-04-29,1493.955,4,2021
2021-04-30,537.54,4,2021
2021-05-11,1838.78,5,2021
2021-05-12,845.94,5,2021
2021-06-14,528.195,6,2021
2021-07-10,977.235,7,2021
2021-07-11,503.62,7,2021
2021-08-19,452.79,8,2021
2021-09-12,399.95,9,2021
2021-10-04,730.185,10,2021
2021-10-05,366.125,10,2021
2021-11-16,351.93,11,2021
2021-11-17,338.52,11,2021
2021-12-13,768.0175,12,2021
2022-01-12,226.0825,1,2022
2022-03-29,279.823333333333,3,2022
2022-05-01,461.9775,5,2022
2022-05-23,353.09,5,2022
2022-06-30,366.645,6,2022
2022-07-15,759.39,7,2022
2022-07-16,332.98,7,2022
2022-08-13,730.78,8,2022
2022-09-17,359.09,9,2022
2022-10-12,NA,10,2022
2022-11-23,329.11,11,2022
2022-11-24,186.34,11,2022
2022-12-13,429.91,12,2022
